invoice_month_start,country,product_category,return_amount,return_orders,return_units
2011-10-01,Germany,Kitchen & Dining,160.73000000000002,6,25
2011-10-01,United Kingdom,Toys & Kids,149.37,10,47
2011-10-01,EIRE,Kitchen & Dining,136.2,4,51
2011-10-01,Germany,Miscellaneous,98.65,6,32
2011-10-01,EIRE,Garden & Outdoor,86.10000000000001,1,30
2011-10-01,United Kingdom,Party & Gift,77.92,8,65
2011-10-01,France,Miscellaneous,60.84,1,36
2011-10-01,Germany,Accessories & Fashion,60.45,1,11
2011-10-01,USA,Toys & Kids,54.9,1,30
2011-10-01,Germany,Storage & Organization,54.690000000000005,4,21
2011-10-01,USA,Party & Gift,40.5,1,30
2011-10-01,Italy,Miscellaneous,38.2,2,5
2011-10-01,France,Accessories & Fashion,35.400000000000006,1,12
2011-10-01,Belgium,Kitchen & Dining,34.0,2,14
2011-10-01,Switzerland,Storage & Organization,31.2,2,10
2011-10-01,Italy,Kitchen & Dining,26.9,2,6
2011-10-01,United Kingdom,Accessories & Fashion,22.9,4,8
2011-10-01,France,Storage & Organization,21.8,4,15
2011-10-01,Spain,Stationery & Crafts,20.0,1,16
2011-10-01,EIRE,Storage & Organization,19.05,2,7
2011-10-01,Denmark,Fees & Adjustments,18.0,1,1
2011-10-01,Finland,Fees & Adjustments,18.0,1,1
2011-10-01,USA,Garden & Outdoor,17.4,1,12
2011-10-01,Germany,Toys & Kids,17.0,1,2
2011-10-01,Italy,Home Decor & Lighting,13.8,2,4
2011-10-01,Germany,Home Decor & Lighting,11.93,5,7
2011-10-01,France,Kitchen & Dining,11.8,1,4
2011-10-01,Hong Kong,Kitchen & Dining,10.95,1,1
2011-10-01,Denmark,Home Decor & Lighting,10.85,1,5
2011-10-01,Denmark,Holiday & Seasonal,10.5,1,25
2011-10-01,Denmark,Stationery & Crafts,10.4,1,5
2011-10-01,EIRE,Holiday & Seasonal,5.1,1,6
2011-10-01,Germany,Stationery & Crafts,3.2,2,4
2011-10-01,Denmark,Kitchen & Dining,2.9,1,2
2011-10-01,France,Home Decor & Lighting,1.45,1,1
2011-11-01,United Kingdom,Fees & Adjustments,20589.469999999998,36,265
2011-11-01,United Kingdom,Home Decor & Lighting,7521.42,171,3716
2011-11-01,United Kingdom,Kitchen & Dining,5548.08,107,2024
2011-11-01,United Kingdom,Storage & Organization,3824.75,90,2093
2011-11-01,United Kingdom,Miscellaneous,2167.48,216,19639
2011-11-01,United Kingdom,Holiday & Seasonal,1232.55,48,589
2011-11-01,Germany,Fees & Adjustments,1031.86,3,4
2011-11-01,United Kingdom,Toys & Kids,720.49,9,109
2011-11-01,United Kingdom,Stationery & Crafts,560.61,34,922
2011-11-01,Germany,Kitchen & Dining,345.45,7,53
2011-11-01,Hong Kong,Fees & Adjustments,326.1,1,1
2011-11-01,France,Miscellaneous,271.43999999999994,3,372
2011-11-01,Australia,Fees & Adjustments,262.73,1,1
2011-11-01,Germany,Home Decor & Lighting,217.9,7,39
2011-11-01,France,Kitchen & Dining,210.3,5,26
2011-11-01,France,Holiday & Seasonal,205.32,1,346
2011-11-01,Italy,Miscellaneous,201.9,3,19
2011-11-01,United Kingdom,Party & Gift,189.6,9,143
2011-11-01,Germany,Miscellaneous,184.28,8,349
2011-11-01,Germany,Storage & Organization,182.73000000000002,8,74
2011-11-01,Australia,Holiday & Seasonal,174.0,1,120
2011-11-01,EIRE,Kitchen & Dining,167.16,4,44
2011-11-01,France,Fees & Adjustments,144.0,3,8
2011-11-01,Malta,Fees & Adjustments,130.0,1,2
2011-11-01,Finland,Fees & Adjustments,120.0,2,3
2011-11-01,United Kingdom,Garden & Outdoor,104.86,12,29
2011-11-01,France,Storage & Organization,101.25999999999999,5,38
2011-11-01,France,Home Decor & Lighting,94.88000000000001,4,10
2011-11-01,Spain,Kitchen & Dining,87.65,2,27
2011-11-01,United Kingdom,Accessories & Fashion,81.12,4,41
2011-11-01,Sweden,Fees & Adjustments,80.0,1,2
2011-11-01,EIRE,Home Decor & Lighting,69.65,7,29
2011-11-01,Italy,Kitchen & Dining,59.1,3,12
2011-11-01,Spain,Storage & Organization,57.44,1,26
2011-11-01,Belgium,Holiday & Seasonal,48.85,1,7
2011-11-01,Czech Republic,Home Decor & Lighting,35.76,1,24
2011-11-01,Italy,Home Decor & Lighting,35.5,2,10
2011-11-01,EIRE,Storage & Organization,34.28,2,14
2011-11-01,France,Toys & Kids,34.0,1,4
2011-11-01,Malta,Home Decor & Lighting,29.75,1,7
2011-11-01,EIRE,Holiday & Seasonal,27.29,3,4
2011-11-01,Italy,Fees & Adjustments,26.33,1,1
2011-11-01,Czech Republic,Garden & Outdoor,21.75,1,15
2011-11-01,EIRE,Miscellaneous,20.75,2,6
2011-11-01,Belgium,Home Decor & Lighting,19.95,1,1
2011-11-01,Sweden,Home Decor & Lighting,18.75,1,5
2011-11-01,Germany,Stationery & Crafts,18.45,2,13
2011-11-01,Netherlands,Fees & Adjustments,18.0,1,1
2011-11-01,Channel Islands,Home Decor & Lighting,16.65,1,1
2011-11-01,Belgium,Fees & Adjustments,15.0,1,1
2011-11-01,Poland,Home Decor & Lighting,11.86,1,6
2011-11-01,Sweden,Storage & Organization,8.67,1,3
2011-11-01,Poland,Storage & Organization,7.5,1,2
2011-11-01,Czech Republic,Fees & Adjustments,4.0,1,1
2011-11-01,EIRE,Garden & Outdoor,3.3,1,2
2011-11-01,Channel Islands,Kitchen & Dining,2.95,1,1
2011-11-01,EIRE,Party & Gift,2.95,1,1
2011-11-01,Belgium,Kitchen & Dining,2.55,1,1
2011-11-01,Italy,Storage & Organization,2.55,1,1
2011-11-01,Sweden,Miscellaneous,2.1,1,1
2011-11-01,Switzerland,Fees & Adjustments,2.0,1,2
2011-11-01,Italy,Stationery & Crafts,1.95,1,1
2011-11-01,Malta,Kitchen & Dining,1.06,1,1
2011-12-01,United Kingdom,Stationery & Crafts,168521.80000000002,7,81129
2011-12-01,United Kingdom,Fees & Adjustments,30917.47,9,9
2011-12-01,United Kingdom,Kitchen & Dining,1272.56,40,500
2011-12-01,United Kingdom,Home Decor & Lighting,1047.13,61,454
2011-12-01,United Kingdom,Storage & Organization,968.48,37,621
2011-12-01,United Kingdom,Miscellaneous,650.22,49,5081
2011-12-01,United Kingdom,Holiday & Seasonal,326.08,16,213
2011-12-01,Sweden,Miscellaneous,238.0,1,40
2011-12-01,USA,Miscellaneous,154.8,1,84
2011-12-01,Japan,Home Decor & Lighting,92.83,1,41
2011-12-01,France,Fees & Adjustments,80.44,2,22
2011-12-01,United Kingdom,Toys & Kids,78.34,4,21
2011-12-01,Germany,Home Decor & Lighting,76.8,3,14
2011-12-01,United Kingdom,Party & Gift,64.62,3,61
2011-12-01,France,Kitchen & Dining,57.120000000000005,2,27
2011-12-01,USA,Storage & Organization,53.8,1,30
2011-12-01,Germany,Stationery & Crafts,46.269999999999996,4,41
2011-12-01,Cyprus,Miscellaneous,42.5,1,1
2011-12-01,France,Miscellaneous,39.44,1,40
2011-12-01,Cyprus,Home Decor & Lighting,38.85,1,3
2011-12-01,Germany,Kitchen & Dining,30.28,2,8
2011-12-01,Malta,Home Decor & Lighting,29.75,1,7
2011-12-01,France,Storage & Organization,29.25,1,13
2011-12-01,United Kingdom,Accessories & Fashion,27.36,1,72
2011-12-01,USA,Kitchen & Dining,25.439999999999998,1,36
2011-12-01,Japan,Storage & Organization,24.099999999999998,1,8
2011-12-01,USA,Holiday & Seasonal,20.8,1,10
2011-12-01,Spain,Kitchen & Dining,18.35,1,5
2011-12-01,EIRE,Home Decor & Lighting,15.3,1,2
2011-12-01,USA,Stationery & Crafts,15.120000000000001,1,36
2011-12-01,France,Holiday & Seasonal,15.12,1,36
2011-12-01,Spain,Home Decor & Lighting,14.87,1,9
2011-12-01,Germany,Storage & Organization,14.07,2,5
2011-12-01,United Kingdom,Garden & Outdoor,12.6,2,2
2011-12-01,Spain,Holiday & Seasonal,11.56,1,4
2011-12-01,Germany,Miscellaneous,11.4,2,4
2011-12-01,Cyprus,Storage & Organization,9.9,1,2
2011-12-01,France,Home Decor & Lighting,6.72,1,16
2011-12-01,Portugal,Storage & Organization,6.24,1,3
2011-12-01,Belgium,Storage & Organization,4.95,1,1
2011-12-01,Channel Islands,Kitchen & Dining,4.25,1,1
2011-12-01,EIRE,Miscellaneous,2.55,1,1
2011-12-01,Finland,Storage & Organization,2.08,1,1
2011-12-01,Belgium,Miscellaneous,1.65,1,1
2011-12-01,Malta,Kitchen & Dining,1.06,1,1
2011-12-01,Belgium,Holiday & Seasonal,0.85,1,1
2011-12-01,Belgium,Party & Gift,0.85,1,1
2011-12-01,Germany,Garden & Outdoor,0.65,1,1
